t|Main,Vload_2|Load_2,Qload_2|Load_2,Pload_2|Load_2
15.018,1.016932721,5.382553653,18.37934735
15.019,1.017175146,5.26779562,18.28418708
15.02,1.016949267,5.262397674,18.35061148
15.021,1.016955971,5.395710263,18.3581212
15.022,1.017106128,5.24368468,18.27949211
15.023,1.016836904,5.29701005,18.36630503
15.024,1.016965733,5.389226377,18.3337003
15.025,1.017031275,5.235923105,18.28730698
15.026,1.016753227,5.333705864,18.37416377
15.027,1.017038996,5.351864904,18.30345458
15.028,1.016915987,5.235064945,18.29845762
15.029,1.016753426,5.368458983,18.37338444
15.03,1.01703563,5.313228399,18.28056413
15.031,1.016860592,5.249678318,18.31568948
15.032,1.016735802,5.394909418,18.36078303
15.033,1.016974162,5.278788032,18.26510885
15.034,1.016687456,5.275433666,18.3347768
15.035,1.016722383,5.410757615,18.34254073
15.036,1.016889329,5.25966869,18.26388612
15.037,1.016633402,5.311121188,18.34837511
15.038,1.016770047,5.401619015,18.31360007
15.039,1.016856354,5.248541455,18.26704974
15.04,1.016595191,5.349043056,18.35711614
15.041,1.016869535,5.368967574,18.28606342
15.042,1.016801486,5.251426633,18.28020127
15.043,1.016565382,5.381306517,18.35281479
15.044,1.016846801,5.325046857,18.25794426
15.045,1.016606422,5.262829066,18.29513836
15.046,1.016549659,5.408878562,18.34079728
15.047,1.016788564,5.29314145,18.2467474
15.048,1.016508575,5.287970307,18.31415695
15.049,1.016558348,5.421030908,18.32151902
15.05,1.016733127,5.268979832,18.24378399
15.051,1.01645002,5.321793385,18.33330376
15.052,1.016543184,5.414405628,18.29984373
15.053,1.01661799,5.26130977,18.25345594
15.054,1.016352786,5.359119194,18.34062011
15.055,1.016638344,5.376831175,18.26952802
15.056,1.016528429,5.260946753,18.26541601
15.057,1.016358393,5.394289925,18.34117989
15.058,1.016652097,5.339263405,18.24806959
15.059,1.016490889,5.275185062,18.28352249
15.06,1.016383366,5.418924567,18.32806577
15.061,1.016614998,5.301658741,18.23114181
15.062,1.016360985,5.297429698,18.30241645
15.063,1.016366631,5.431316253,18.30971829
15.064,1.01650147,5.278772489,18.23258892
15.065,1.01619124,5.329254222,18.31928806
15.066,1.016354803,5.420042351,18.28677733
15.067,1.016424262,5.265939421,18.24148454
15.068,1.016160521,5.366424449,18.33265763
15.069,1.01644528,5.387498828,18.26285725
15.07,1.016390027,5.270115347,18.25776299
15.071,1.016184228,5.401089625,18.33193927
15.072,1.01648848,5.344681648,18.23690517
15.073,1.016252271,5.281844696,18.27387091
15.074,1.01615148,5.428682657,18.32040426
15.075,1.01638831,5.313422969,18.22378991
