t|Main,Q_BESS1|BESS_1,V_BESS1|BESS_1,freq_BESS_1|BESS_1,Vrms_BESS_1|BESS_1,P_BESS1|BESS_1
11.639,1.50446546,1.010596141,59.53866394,1.011134688,6.516422162
11.64,1.461042168,1.010399798,59.52803387,1.012469991,6.586388352
11.641,1.562023718,1.010298987,59.51873962,1.010202605,6.609674159
11.642,1.469407964,1.010480708,59.52132053,1.011388024,6.557970476
11.643,1.475568056,1.010210414,59.52357712,1.012141606,6.627823635
11.644,1.542430464,1.010274666,59.52555013,1.010203969,6.614950938
11.645,1.446157868,1.010387045,59.52484878,1.011794996,6.590341249
11.646,1.496809878,1.010096371,59.52423556,1.011695335,6.658964402
11.647,1.548312864,1.010293741,59.52517987,1.010174755,6.606013076
11.648,1.444171457,1.010313189,59.5260055,1.011995865,6.591204717
11.649,1.490703189,1.010073434,59.52672739,1.01084476,6.646312029
11.65,1.469363169,1.010369886,59.52735856,1.010399967,6.583484501
11.651,1.385877066,1.010246632,59.53271717,1.012120794,6.618166216
11.652,1.475891103,1.010040167,59.53740239,1.010098656,6.656511255
11.653,1.417429583,1.010299368,59.53975004,1.010656702,6.585447141
11.654,1.37094162,1.010018655,59.54180267,1.011985699,6.634742109
11.655,1.431219051,1.009974044,59.53283491,1.009687577,6.649887416
11.656,1.343750043,1.010180312,59.52499407,1.010935118,6.604891615
11.657,1.323159231,1.009913583,59.51813854,1.011674032,6.681898291
11.658,1.389856136,1.009981495,59.51214451,1.009546202,6.674791977
11.659,1.268791837,1.010127371,59.5038556,1.011173163,6.649241115
11.66,1.287752408,1.009843996,59.4966083,1.011106657,6.732646378
11.661,1.314419067,1.010000967,59.49260806,1.009625467,6.706162871
11.662,1.217614722,1.010037805,59.4891105,1.011379444,6.723689918
11.663,1.30982078,1.009731142,59.48605246,1.010229559,6.792336493
11.664,1.321747544,1.010043363,59.48177633,1.009817547,6.729061277
11.665,1.260052551,1.009869502,59.47803756,1.011499522,6.750009795
11.666,1.333175411,1.009713654,59.47476862,1.009488984,6.784832636
11.667,1.287733701,1.009980993,59.45753018,1.010021613,6.715938988
11.668,1.253065977,1.00975286,59.44245798,1.011428837,6.763976424
11.669,1.354588608,1.009714557,59.42927981,1.009144195,6.766252102
11.67,1.263834438,1.009932725,59.43988012,1.010394821,6.694764138
11.671,1.249084538,1.009653264,59.44914836,1.011199405,6.75033228
11.672,1.295222846,1.009670463,59.46863627,1.008978869,6.729357998
11.673,1.182952443,1.009794484,59.48567525,1.010664189,6.699777854
11.674,1.218681449,1.00951859,59.50057306,1.0105321,6.766313725
11.675,1.258935029,1.009703605,59.51359875,1.009150395,6.719924418
11.676,1.149201236,1.009711855,59.52334284,1.010944588,6.709980991
11.677,1.18979883,1.009464577,59.53186245,1.009710712,6.768982006
11.678,1.1636966,1.00979403,59.53757544,1.00933898,6.711324152
11.679,1.083846946,1.00968208,59.54257052,1.011005568,6.749804506
11.68,1.180534729,1.009498312,59.54482114,1.009096455,6.792849911
11.681,1.128167736,1.009762677,59.54678894,1.009628736,6.722660309
11.682,1.096788131,1.009525578,59.54850945,1.010959009,6.768721053
11.683,1.172067411,1.009442876,59.55001376,1.008662232,6.779068791
11.684,1.092575906,1.009620058,59.56358973,1.009860746,6.72235665
11.685,1.097909015,1.009325948,59.57545969,1.010637966,6.782830615
11.686,1.182626549,1.009409822,59.58583803,1.008555476,6.758813753
11.687,1.065259877,1.009530337,59.57553691,1.010196391,6.710586146
11.688,1.081935378,1.009239994,59.56653026,1.010124056,6.770740082
11.689,1.095917632,1.009466498,59.54636486,1.008663997,6.725033596
11.69,0.984703261,1.009474616,59.52873352,1.010484932,6.72943034
